"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.79111",67.1914654751935,-28.4956082650602,3.32015368307741,-8.58261724759921,9.27385282425239e-18,5.1867707298164e-13
"MSTRG.73143",44.0636673406608,-25.0495775999198,2.95302447084479,-8.48268541193421,2.200550436205e-17,5.1867707298164e-13
"MSTRG.23300",275.072319148404,-21.6622416001061,2.54728626484653,-8.50404679640955,1.83093677794106e-17,5.1867707298164e-13
"MSTRG.27477",49.1029396511858,-24.0748928682294,2.88354712396907,-8.34905476942281,6.88114256352707e-17,1.10321362962889e-12
"MSTRG.46997",12.7541814517057,-29.2243241696137,3.50654444790679,-8.33422322282524,7.80086287585302e-17,1.10321362962889e-12
"MSTRG.28014|LOC111130818",8.16471226377214,24.3697220135707,3.04402854648757,8.00574687175332,1.18743756384854e-15,1.39941495962157e-11
"MSTRG.30326",31.4174715384392,-18.9422917947351,2.41427814703423,-7.84594427034201,4.29707750524369e-15,4.34072353533266e-11
"MSTRG.71252",8.97218658813076,-29.4230793431048,3.76010298724969,-7.82507272882602,5.07363513859419e-15,4.48452267856417e-11
"MSTRG.61842|LOC111106442",43.1281312418249,-21.051721198089,2.69552503368701,-7.80987782899345,5.72434459135674e-15,4.4974903377714e-11
"MSTRG.66220",43.7134003296785,-21.9519708405219,2.86772436154241,-7.65483989148631,1.93553235405623e-14,1.3686342828767e-10
"MSTRG.59597|LOC111104343",68.5377499574994,-20.5264293119588,2.71496943016622,-7.56046424828514,4.01633269711176e-14,2.58180819404972e-10
"MSTRG.82171",23.1004666370941,-24.5616642592559,3.33899114270995,-7.35601360095898,1.89483717740794e-13,1.11654859709744e-09
"MSTRG.79822",8.32057695650481,-29.7761363226808,4.06524780342338,-7.32455627861259,2.3969045948912e-13,1.30375016007194e-09
"MSTRG.8162",69.6741136774757,-24.9755926382475,3.42699550430329,-7.28789769548447,3.14828882707409e-13,1.59013322322312e-09
"MSTRG.82699",3.90787507529255,-29.2832361924146,4.02623387084224,-7.2731086001939,3.51307662447718e-13,1.65608774128937e-09
"MSTRG.51313",121.559303621357,-21.4990636819054,2.97319300613069,-7.23096806617484,4.79563119683031e-13,2.11939923474418e-09
"MSTRG.51999",89.1357289272113,-22.3290694388704,3.13668267295395,-7.11868931830524,1.08958199761489e-12,4.5320842725498e-09
"MSTRG.70314",15.2020062983768,-19.1837065206673,2.7188707410297,-7.05576261172387,1.71656660538421e-12,6.74334117962905e-09
"MSTRG.45883",1.56606418346431,19.9073485730152,2.83648945974603,7.01830514638955,2.24575663585743e-12,7.27963767924804e-09
"MSTRG.37782|LOC111135790",124.537604273847,-23.425286519643,3.33830497964606,-7.01711996431394,2.26488140379088e-12,7.27963767924804e-09
"MSTRG.45938",21.1358447970257,21.0945601269405,3.00525770938654,7.01921837220625,2.23112843795281e-12,7.27963767924804e-09
"MSTRG.67897",21.9607215985859,27.1121548176161,3.85807827359724,7.02737292894188,2.10458322740325e-12,7.27963767924804e-09
"MSTRG.28700|LOC111128348",48.2644948558584,-20.14658948511,2.87526331132621,-7.00686765130299,2.43712598809386e-12,7.49267894539585e-09
"MSTRG.21077",39.3236326502966,-21.6443818949102,3.10380611512269,-6.9734967623951,3.09158555079886e-12,9.10871274510575e-09
"MSTRG.17557",67.1392556181137,-22.3474775374129,3.2306797684117,-6.91726792482426,4.60436793216931e-12,1.25222869558317e-08
"MSTRG.59823",14.9971513046018,-18.1628087868914,2.6239660347973,-6.92189172650419,4.45651822228383e-12,1.25222869558317e-08
"MSTRG.69840",58.3253874078749,-20.1886311824509,2.95211033462393,-6.83871159748598,7.99085700743189e-12,2.09274625871302e-08
"MSTRG.24360|LOC111123599",2.23738275044467,20.0600302236671,2.96641814828728,6.76237442629225,1.35748324404774e-11,3.42817848820927e-08
"MSTRG.63559|LOC111108955",7.7188616038402,-20.8784248048619,3.10219947329627,-6.73020061559013,1.69429320186391e-11,4.13121264127581e-08
"MSTRG.71307|LOC111113107",25.8201006261542,-23.1768167199842,3.44727359454772,-6.72323100685746,1.777384544106e-11,4.18935461660932e-08
"MSTRG.5189",40.0905032300219,-20.5385179809399,3.09686860139264,-6.63202758157185,3.31106688275132e-11,7.55254355955576e-08
"MSTRG.76262",19.0536167006734,-22.6240601464567,3.41489316245774,-6.62511506807255,3.46977782455643e-11,7.66723311725656e-08
"MSTRG.9199",10.0487146900016,-20.809024836207,3.14797682881275,-6.61028526186932,3.8358015399742e-11,8.21919280888229e-08
"MSTRG.72644",19.6295232465695,-18.3645237807998,2.78019222113341,-6.6054870743121,3.96212478337892e-11,8.24017075169138e-08
"MSTRG.82722",16.6937489403292,-23.1145323516358,3.53395566912561,-6.54069674771979,6.12328824017865e-11,1.23709667071792e-07
"MSTRG.4924",7.98625186133298,-20.6774048459297,3.16542744301102,-6.53226308869709,6.47832246404324e-11,1.24763050668093e-07
"MSTRG.30224|LOC111127836",18.0413372228757,-23.0284375605898,3.52595960190019,-6.53111213984966,6.52830942105108e-11,1.24763050668093e-07
"MSTRG.84177",18.5946444653949,-21.106748607457,3.24954934321972,-6.49528484665013,8.28764514496601e-11,1.54217809433077e-07
"MSTRG.78829|LOC111111685",14.8441149865468,-18.6761651085535,2.88163865571245,-6.48109195493006,9.10611492201893e-11,1.65103203141251e-07
"MSTRG.79259|LOC111115369",10.296518819844,29.7199408014948,4.61604484304339,6.43839949828136,1.20739865383625e-10,2.13440915528538e-07
"MSTRG.48328",11.7227579472508,-19.5221126951445,3.03760457989088,-6.42681171353968,1.30308059140399e-10,2.2473690658236e-07
"MSTRG.71451",76.0510893845683,23.4578782360922,3.68694142172945,6.36242227713202,1.98596539665693e-10,3.34356188483352e-07
"MSTRG.84608",14.5106076525397,-23.3848058828518,3.70524434204831,-6.31127227359164,2.76750805367258e-10,4.55100609263352e-07
"MSTRG.48589",15.7570004949682,-22.8104489235314,3.63653163064096,-6.27258367047695,3.55105512539716e-10,5.70678770390815e-07
"MSTRG.23707",2.97715936637678,22.8908889614607,3.70171797204239,6.18385547854984,6.25546407352922e-10,9.82955822451833e-07
"MSTRG.81288|LOC111117570",130.83928337155,10.2277695969265,1.65602873687671,6.176082195419,6.57117860178632e-10,1.01011871763242e-06
"MSTRG.69035|LOC111115132",14.7969481710231,-17.9572896709412,2.92527320743358,-6.13867095398438,8.321472948922e-10,1.25195675253452e-06
"MSTRG.38130",26.6581755499232,-21.4382251555487,3.49939776273772,-6.12626131954107,8.99680003242092e-10,1.32535984810941e-06
"MSTRG.24852|LOC111125588",51.5725499818252,-25.4009400741104,4.15540248303399,-6.11275085333356,9.79281983020112e-10,1.41318384288439e-06
"MSTRG.21949",18.3237073918143,-20.4632625633535,3.35127101210661,-6.10611988389752,1.02082343556309e-09,1.44366891904203e-06
"MSTRG.25006",16.6133541570965,21.8333081954561,3.58415078675168,6.0916265789263,1.11769158141145e-09,1.54966841986638e-06
"MSTRG.51997|LOC111100010",4.10098977816126,25.902800776352,4.25787925191951,6.08349820269672,1.17588236562804e-09,1.59899649915239e-06
"MSTRG.53416",8.9945840748665,-17.6778499320457,2.93664402328002,-6.01974559800435,1.74691411536889e-09,2.33068007569527e-06
"MSTRG.59816",13.4717708037638,-16.5109119633039,2.76311744284104,-5.97546514212849,2.29434596485408e-09,3.00436106519994e-06
"MSTRG.55671",8.75396294011617,-30,5.03293388629541,-5.96073794684438,2.5110137184619e-09,3.1706480543957e-06
"MSTRG.9113",3.24038521606614,19.7991834498289,3.32025733803413,5.96314726061313,2.47425244284445e-09,3.1706480543957e-06
"MSTRG.54915",29.8609484966536,-18.3858653419565,3.08610765630914,-5.95762280177397,2.55933387506918e-09,3.17496592350907e-06
"MSTRG.27763",22.1334056800711,-21.0531572300874,3.5477922624886,-5.93415726526211,2.95358622252515e-09,3.60087992036165e-06
"MSTRG.69715",1.37496943175755,20.8068476492996,3.52674928764089,5.89972406663977,3.64109991066983e-09,4.36382738615888e-06
"MSTRG.52604",45.9059807735088,-21.1830404578886,3.60400093930576,-5.8776456539906,4.16142511265949e-09,4.90430885235441e-06
"MSTRG.59704",16.8476420069844,25.8029370457703,4.40122666516313,5.86266943486628,4.55484438592618e-09,5.27996067824961e-06
"MSTRG.69407",12.0024623409529,-18.9255071682335,3.23145629441028,-5.85664958581385,4.72298190569389e-09,5.38656086344388e-06
"MSTRG.81148",1429.54158268667,-23.4640863214376,4.02048149447911,-5.83613837140112,5.3424533132264e-09,5.99635263859607e-06
"MSTRG.64984",59.0420674523226,-21.6424100262796,3.71125405823134,-5.83156250870997,5.491073366758e-09,6.06686388807539e-06
"MSTRG.59715",9.32702688915428,28.7939788454537,4.97240386625235,5.79075626597391,7.00701977988529e-09,7.62266731777645e-06
"MSTRG.48713",9.52968524732488,-24.2284738667788,4.18701122602059,-5.78657962897462,7.18340426502733e-09,7.69614695430829e-06
"MSTRG.28537",67.6214711292817,8.46647088448075,1.46547694404659,5.77728016730341,7.59178143348792e-09,7.92739516608862e-06
"MSTRG.63479",13.4536788756468,17.5170790793252,3.03348163470636,5.77457891253093,7.7145768504353e-09,7.92739516608862e-06
"MSTRG.871|LOC111125896",15.1230509141105,-19.4628898455814,3.37071032031597,-5.77412117804207,7.73557532010741e-09,7.92739516608862e-06
"MSTRG.73381",98.0026132147937,-23.6172203835565,4.1235389084485,-5.72741543317764,1.01972240950876e-08,1.03007987569677e-05
"MSTRG.78385",32.9282939721647,-18.9344267806868,3.31679283422909,-5.70865523625254,1.13872289071263e-08,1.13408780739691e-05
"MSTRG.69651",13.1660974170696,-17.875827041016,3.14279778948553,-5.68787056578089,1.28633256522841e-08,1.23296756888188e-05
"MSTRG.12131|LOC111120197",9.07095971953786,-16.6571453826924,2.92870032840948,-5.68755540507572,1.28870799273396e-08,1.23296756888188e-05
"MSTRG.77321",8.26375762034916,-16.0432233054915,2.82086475062351,-5.68734225983198,1.2903169251921e-08,1.23296756888188e-05
"MSTRG.10253",33.9886566512567,-17.9697772592596,3.16488697993326,-5.67785749481598,1.36392265163006e-08,1.28592446159218e-05
"MSTRG.34646",30.0469394624279,25.4831312133908,4.51853199308413,5.6396925489062,1.7035406089066e-08,1.58498763153151e-05
"MSTRG.4172",3.66230357509886,19.8905719549063,3.53698017094121,5.62360290236327,1.87015275264035e-08,1.71740741937599e-05
"MSTRG.48811",76.1663161185231,-20.5225321912604,3.65441590540195,-5.61581733511068,1.95635251187599e-08,1.77353387778542e-05
"MSTRG.55418|LOC111105298",32.7135769450893,-19.5802293266837,3.49088441183526,-5.60895951189338,2.03546631195442e-08,1.82189694157733e-05
"MSTRG.46238|LOC111136991",31.331418361531,-16.53210336259,2.95053070527815,-5.60309483748668,2.10557940973517e-08,1.86109532052229e-05
"MSTRG.84239",7.65918245869109,-19.085974758698,3.42605765437312,-5.57082708002186,2.53532866531864e-08,2.21327932411539e-05
"MSTRG.18405|LOC111126520",111.364748062688,5.51748295525778,0.995963045531563,5.5398470656238,3.0273590761402e-08,2.61058033698719e-05
"MSTRG.23492",10.6591066424103,-26.8482835604698,4.85293817478287,-5.5323770040963,3.15919963824897e-08,2.6914477785569e-05
"MSTRG.55410",5.49334614810789,-22.9776304677099,4.16600043284194,-5.5155132214029,3.47763597444087e-08,2.92746568319867e-05
"MSTRG.60694",30.2797694736771,-22.4504496979927,4.0762569495539,-5.50761396443608,3.6372993745065e-08,3.02584795377328e-05
"MSTRG.79718",51.1298167359032,29.811987040399,5.42087735098406,5.49947639656286,3.80920691455115e-08,3.13200965273054e-05
"MSTRG.65008",2.05330946208482,21.1700322825445,3.86156329649192,5.48224401805783,4.19964414230348e-08,3.41334525225772e-05
"MSTRG.58526|LOC111105102",39.6149005632228,-22.7394906857627,4.15745562868942,-5.46956906258816,4.51131111630437e-08,3.62499227664771e-05
"MSTRG.82224",16.2660885706543,-19.0199086233475,3.48166861481754,-5.46287160771167,4.68493451447547e-08,3.72220679160758e-05
"MSTRG.48588",14.1305362017239,-21.8559257246706,4.00467848440048,-5.45759810926308,4.82618494370528e-08,3.79182626171494e-05
"MSTRG.32678",15.9224024907614,-21.2480867019508,3.90306206888821,-5.44395306221797,5.21109568712763e-08,4.04925040804925e-05
"MSTRG.50685",29.6564782372491,9.97799065746529,1.83355030951286,5.44189630668834,5.27163600971632e-08,4.05176797698968e-05
"MSTRG.60630",23.059116644222,-20.4743063971103,3.7714304324512,-5.42879068401727,5.67371780705269e-08,4.31391677262906e-05
"MSTRG.14201|LOC111117921",44.2526711698793,-8.33918267350375,1.53673343527848,-5.42656421866201,5.74491613235972e-08,4.32158260250306e-05
"MSTRG.64080",20.3654676812522,-22.315244537739,4.12422592925538,-5.41077160187682,6.27537673147487e-08,4.67092804272968e-05
"MSTRG.66032",65.7688145578032,-29.982226284178,5.54872587927675,-5.40344340962219,6.53735869144379e-08,4.81524135865294e-05
"MSTRG.36712|LOC111133635",3.40925288404553,21.356880246234,3.97211474528346,5.37670274293899,7.58622657680095e-08,5.53020275744507e-05
"MSTRG.36973|LOC111137125",5.55663246699157,-21.4192046571662,3.99519805867356,-5.36123725097063,8.26538776173759e-08,5.96381463285945e-05
"MSTRG.15435|LOC111121850",246.929257822404,-5.65136444097481,1.06129354841843,-5.32497766465895,1.00965445023663e-07,7.21148240713961e-05
"MSTRG.81892",15.0388465258535,-14.7239162065431,2.77030121105977,-5.31491526905499,1.06706967681426e-07,7.54535639172134e-05
"MSTRG.63978|LOC111108101",7.08992900846999,-20.507188477209,3.86282903575312,-5.30885221359813,1.10317735077201e-07,7.72344293568708e-05
"MSTRG.70360",62.9081243336199,-24.950212282486,4.70914171765643,-5.29825046227379,1.16917519964501e-07,8.10524975902921e-05
"MSTRG.44850",17.9390421141493,-22.806079854779,4.30722075815686,-5.29484814809867,1.19115350651338e-07,8.12646776663397e-05
"MSTRG.59744",1.74025017836429,20.5542045846574,3.88238201513985,5.29422517014133,1.19522089594254e-07,8.12646776663397e-05
"MSTRG.47192",7.87736763472383,-22.5388842308717,4.27153284790752,-5.27653304642446,1.31650781307049e-07,8.86586514000259e-05
"MSTRG.47213",45.0168086995094,6.9367228982485,1.31905240553878,5.25886831267718,1.4494463685685e-07,9.66903794036293e-05
"MSTRG.71818",8.04774479229927,-22.0624861298874,4.20357703281378,-5.24850287211681,1.53340250523544e-07,0.000101334976212807
"MSTRG.31814|LOC111129694",41.105251823231,-16.1005400571507,3.07391125847885,-5.23780249437589,1.62499823832115e-07,0.00010639375039808
"MSTRG.69521",17.0814456149457,-18.7803255596869,3.59152051158004,-5.22907373050885,1.7036141877014e-07,0.000110517672317939
"MSTRG.7400|LOC111112602",40.6178141813977,-20.9391603648171,4.00693705479848,-5.22572730204023,1.73471867676439e-07,0.000111512447593352
"MSTRG.64933",8.27991880434919,-18.6598472142296,3.57748585884739,-5.21591082410077,1.82916165733427e-07,0.000116524189145733
"MSTRG.40948",22.7851551832671,-25.0563500786756,4.81102173381644,-5.20811408989398,1.90769620289291e-07,0.000120442059109608
"MSTRG.6930",15.2457268542604,-16.7575994187049,3.24228370512972,-5.16845561423022,2.36036328024878e-07,0.000147702343282895
"MSTRG.65863",19.3693047101902,8.12265541000162,1.57222496606025,5.16634424802179,2.38716948223968e-07,0.00014806942215671
"MSTRG.60833",8.40639403845243,-18.9903272332743,3.68771293408339,-5.14962188562936,2.61012111226639e-07,0.000160490673016929
"MSTRG.60462",30.4040629524071,-16.6457003350132,3.23604123330881,-5.14384679764824,2.69169066124786e-07,0.000164079429609911
"MSTRG.35097",14.2196667204395,19.7942259235319,3.85152430862368,5.13932259994102,2.75730666611863e-07,0.000166642659545226
"MSTRG.14601",7.59725784230127,-19.3439685912221,3.76997913207076,-5.13105455323751,2.88123382842589e-07,0.00017265671630663
"MSTRG.51961",16.6408202627361,20.3037319339708,3.96220118204647,5.12435663942837,2.98555406252667e-07,0.000177404633038087
"MSTRG.16057",10.3020158470365,-20.6506356470004,4.03154462221135,-5.12226394152454,3.01888909385378e-07,0.000177890555596245
"MSTRG.57095",157.7572761958,-14.6313393567741,2.86614255954427,-5.10488890653804,3.30988904432596e-07,0.000193426086126721
"MSTRG.36840|LOC111134064",86.2729839334267,4.16016367839007,0.816438010908864,5.09550464677526,3.4781348915538e-07,0.00020159212812841
"MSTRG.34960",70.7106825718889,-2.61079483253757,0.513169433696166,-5.08758835017316,3.62645457980894e-07,0.000207849426597003
"MSTRG.58064",28.3389683930242,-17.5643194561535,3.45303881940032,-5.08662670036355,3.64488253567739e-07,0.000207849426597003
"MSTRG.80374",14.5359618309861,-20.9558141127847,4.12861761796737,-5.07574594013912,3.85978744002469e-07,0.000218343543737269
"MSTRG.47482",28.668290262227,-16.210362393432,3.20830776302287,-5.0526207554847,4.35788659759062e-07,0.000244563904128754
"MSTRG.14621|LOC111118237",6.61335021259567,23.963939987853,4.75503667565835,5.03969614167805,4.66271547471998e-07,0.000259610451915688
"MSTRG.55531",48.7938563572347,29.3039847130012,5.82809796508185,5.02805287223577,4.95485274225386e-07,0.000273720775201182
"MSTRG.60443|LOC111107407",17.3118924979028,-20.7327107482204,4.14048596673778,-5.00731337209563,5.51950253149987e-07,0.000302550033724719
"MSTRG.66970",11.0042686207942,23.1673768830065,4.66566089310955,4.96550808422898,6.85214384286391e-07,0.000372709187132885
"MSTRG.54931",3.5701626394922,27.6865260706077,5.59425257262039,4.9491019061442,7.45567052039949e-07,0.000402441158906846
"MSTRG.11668",4.90746817844096,-30,6.06407209221804,-4.94717073672305,7.52999253170568e-07,0.000403373713567758
"MSTRG.42912|LOC111132121",80.9292465362478,-7.55636488900647,1.53054836285731,-4.93703111406414,7.93208201042899e-07,0.000421718384240184
"MSTRG.35138",19.5403707568839,-25.9964451661321,5.27602140786616,-4.9272819718611,8.33813834018352e-07,0.000439998582218445
"MSTRG.34023",174.551088119881,3.36766578280515,0.684361912806527,4.92088428620253,8.61540588941503e-07,0.000451262196923279
"MSTRG.66438",6.10213025583403,24.1015637564763,4.91101547049749,4.90765380424159,9.21723673592658e-07,0.00047573724586431
"MSTRG.63425",102.360597610416,-5.25019405781248,1.069742278676,-4.90790554180072,9.20541682432007e-07,0.00047573724586431
"MSTRG.68855",0.96363694635363,22.756180774714,4.63990560861482,4.90444907596032,9.36899230237973e-07,0.000480065807748966
"MSTRG.62220",40.2380181690196,-30,6.13987824230204,-4.88609037770625,1.02857996793479e-06,0.000523251209443431
"MSTRG.29217|LOC111130497",2.81518925165473,20.3218631524359,4.165394052064,4.87873725713085,1.06767178270194e-06,0.000529070022957594
"MSTRG.60690",7.08486690662359,19.826522090186,4.0642132787205,4.87831733486875,1.06994687223962e-06,0.000529070022957594
"MSTRG.75562|LOC111114538",9.67256990746749,12.5558952309891,2.57280868803565,4.88022886792083,1.05962799206589e-06,0.000529070022957594
"MSTRG.34933",13.7438392051485,21.202037737703,4.34397148938466,4.88079578549589,1.05658610560516e-06,0.000529070022957594
"MSTRG.82412",5.33065899629177,-19.4354510956719,3.98662457297393,-4.87516462609207,1.08717751505491e-06,0.00053385700879894
"MSTRG.66818",21.6338736089302,-17.1289010786305,3.5225311784773,-4.86266840824241,1.15813769962513e-06,0.000564779826746155
"MSTRG.82828",5.72122354985891,-17.1934299331708,3.53875013944372,-4.85861653286251,1.18208826428927e-06,0.000572511255179169
"MSTRG.81661",37.3769036625676,-18.7166154747165,3.85571606931639,-4.85425149005718,1.20842301738389e-06,0.000581284353620626
"MSTRG.33601",1.19635691338984,14.8512245361555,3.06505535474411,4.84533648410908,1.26397275772448e-06,0.000603897146428755
"MSTRG.8687",10.6590465237903,25.4415767176725,5.25627311480867,4.84023112231272,1.29688212796891e-06,0.000611358881005396
"MSTRG.68559",149.214816033169,-15.6401395732405,3.23084293016962,-4.84088515328085,1.29262064384437e-06,0.000611358881005396
"MSTRG.22164|LOC111123797",15.3323567036847,19.0919561668057,3.95670009551303,4.82522195413707,1.39847438889624e-06,0.000654884255054582
"MSTRG.78386|LOC111115945",31.6898088711651,-14.9673389970619,3.10496209470596,-4.82045788017237,1.4322909616267e-06,0.000666307409128854
"MSTRG.3445",11.0402027811822,-18.4302136424016,3.82708626796774,-4.8157298665202,1.46662821185102e-06,0.000677821879007825
"MSTRG.57053",15.0730922748286,-19.91915822691,4.15102740158005,-4.7986091875298,1.59771201107715e-06,0.000733609181917379
"MSTRG.22701|LOC111125988",151.776256031149,-7.48411514677699,1.5605494468478,-4.79582057581987,1.6201024694908e-06,0.000739090746581703
"MSTRG.73800",5.21154964879037,-27.0733890715598,5.64950713479303,-4.79216831231625,1.64988396282142e-06,0.000747852210865805
"MSTRG.44157",1.58622258390811,23.3080651786338,4.87672584760007,4.77944955427505,1.75775767168992e-06,0.000791673902693413
"MSTRG.67412",79.8346037103085,-15.3000312734528,3.20332675645978,-4.77629428299783,1.78555035234343e-06,0.000799101588383265
"MSTRG.4873",11.7692004465063,14.0811300559526,2.94939717585451,4.77424002817557,1.80387135340178e-06,0.000802223567738321
"MSTRG.3303|LOC111120028",19.4552144150111,-14.5732132602833,3.05612476806682,-4.76852693075806,1.85577868187654e-06,0.000820149789838575
"MSTRG.68733",2.81320311073667,16.9849885790914,3.56752782533164,4.76099680526317,1.92639098246617e-06,0.000846068526466866
"MSTRG.1117",849.543432568972,1.53302711163198,0.322318050393104,4.75625584655368,1.97216499855222e-06,0.000860825674152011
"MSTRG.30208",10.8652732887697,-16.9763867873302,3.57547969470188,-4.7480025722103,2.05435424408858e-06,0.00089119903652606
"MSTRG.63313",18.213926898512,11.5608614044525,2.43849914281434,4.74097415146505,2.12693070261109e-06,0.00091705729824593
"MSTRG.74689",4.88917081667456,-20.0003849790219,4.2201380975577,-4.73927262963186,2.14486760116646e-06,0.000919186260279282
"MSTRG.60197",18.0427138114713,-16.9859273013147,3.5879689508061,-4.73413441816394,2.19991902378202e-06,0.000937099241509943
"MSTRG.77558",2.72587970429499,20.0082481119775,4.22768025450564,4.73267771153076,2.21577161177882e-06,0.000938200158326298
"MSTRG.77298",26.1962069727265,-21.1283445099125,4.46645283834397,-4.73045283911388,2.24019565957846e-06,0.000942895686216981
"MSTRG.11053",9.79297494853045,20.1566988872537,4.27786735658923,4.71185691538711,2.45469714140389e-06,0.00102706561873261
"MSTRG.6596",11.1342689544902,-16.5738580622548,3.51932346155948,-4.70938754089704,2.4846225700905e-06,0.0010274277576238
"MSTRG.55082|LOC111103270",70.2755814408256,9.75999138177315,2.07231431284568,4.70970611034908,2.48074236164383e-06,0.0010274277576238
"MSTRG.61446|LOC111110274",11.9760599746464,29.4306247406841,6.25471183878848,4.70535262043098,2.53427531187485e-06,0.00104186710219757
"MSTRG.55738",8.74425663099104,-14.8467230881611,3.1631081978764,-4.69371332227226,2.68289941112565e-06,0.00109659248705263
"MSTRG.67320",6.74237590925507,-21.5947587574111,4.60373287299012,-4.69070629273617,2.7226356429212e-06,0.00110643844222185
"MSTRG.72654",1.58571235576259,21.5049068741661,4.5874130710321,4.68780694940293,2.76148327024994e-06,0.00111581282012939
"MSTRG.64805",5.38286808612298,-22.0011472975866,4.71057520582218,-4.67058614633593,3.00341494306214e-06,0.00120667314794811
"MSTRG.18190",19.7607573261583,7.59712393916675,1.62816099740551,4.66607660499965,3.07005283452372e-06,0.00122647743492659
"MSTRG.38151|LOC111136629",10.0814613123891,-17.2838536857133,3.70538326551893,-4.66452521836299,3.09330397363226e-06,0.00122882369258152
"MSTRG.42589",14.9278949497696,-15.9756837027211,3.429812622439,-4.65788818846917,3.1946963434291e-06,0.00126201214044813
"MSTRG.64643",2.98371378175317,-19.1811366530884,4.11936309530887,-4.65633550849933,3.21887229372439e-06,0.00126449821534192
"MSTRG.53248",7.80611271134213,-19.6971679092119,4.23411041979429,-4.65202036704769,3.28698605059236e-06,0.00128412193714606
"MSTRG.76129",9.23532725235659,-18.1253611086909,3.90082458282925,-4.64654606322869,3.37538789656274e-06,0.001311412382164
"MSTRG.25410|LOC111126611",1.39852426425993,19.148968554831,4.12289419516928,4.6445452268136,3.40826382623359e-06,0.00131694941757816
"MSTRG.28967",15.7018358623891,-7.57014687404755,1.63181757802466,-4.63908893738681,3.4994844260719e-06,0.00134484806115201
"MSTRG.16988|LOC111126977",9.09500581722386,-17.4690866250639,3.77982136286893,-4.62166990130049,3.80663388342572e-06,0.00145497777584279
"MSTRG.68659",50.3472126521809,21.9512371263717,4.75842666716989,4.61312922563695,3.96651519252535e-06,0.00150793685902505
"MSTRG.79851|LOC111112169",6.77633315523057,-16.1666260086778,3.51552254951144,-4.59864096474775,4.2525592848173e-06,0.0016080359336295
"MSTRG.46835|LOC111134224",6.16607230477206,27.566167595878,6.00286278946971,4.59217019656603,4.38660392882286e-06,0.00163253237058418
"MSTRG.71128",319.816909707592,-14.0802461083905,3.06555082026922,-4.59305584343696,4.36802114199525e-06,0.00163253237058418
"MSTRG.34180|LOC111133492",4.01090370226816,16.7215843728425,3.63967234161618,4.59425541734818,4.34297171870286e-06,0.00163253237058418
"MSTRG.83095",5.09617612777678,16.2968021828966,3.55431077768761,4.58508082219503,4.53810857111582e-06,0.00168007432027314
"MSTRG.28950|LOC111129928",221.358719193898,-3.89601317146003,0.851698582921627,-4.57440372636916,4.77578145734655e-06,0.00175885563870017
"MSTRG.50686",53.3738911563343,29.3680751467916,6.42201794051892,4.57302913489191,4.8072326328431e-06,0.00176126542332108
"MSTRG.5055",8.25609803273697,6.58327574603367,1.44104481765565,4.56840458074274,4.9145070931104e-06,0.00179128717041716
"MSTRG.69352|LOC111110984",3.08003559006245,28.0879614555659,6.15874781414702,4.56066107968346,5.09928280105236e-06,0.00184910454433443
"MSTRG.1176",5.76869775104146,6.87193843475968,1.50721029795801,4.55937598361016,5.13058441135633e-06,0.00185096303220111
